name,genre,all_reviews,tone
Fidel Dungeon Rescue,"Indie,RPG","Very Positive,(228),- 96% of the 228 user reviews for this game are positive.",Very Positive
Arma 3 Laws of War,"Action,Simulation,Strategy","Very Positive,(608),- 93% of the 608 user reviews for this game are positive.",Very Positive
Tale of Fallen Dragons,"Action,Adventure,Indie,Early Access","Very Positive,(330),- 90% of the 330 user reviews for this game are positive.",Very Positive
"Sally Face EPISODES 2, 3, 4 + Pre-Order 5","Adventure,Indie","Very Positive,(337),- 97% of the 337 user reviews for this game are positive.",Very Positive
Pretty Girls Panic!,Casual,"Very Positive,(160),- 83% of the 160 user reviews for this game are positive.",Very Positive
Grim Dawn - Steam Loyalist Items Pack,"Action,Adventure,Indie,RPG","Very Positive,(166),- 93% of the 166 user reviews for this game are positive.",Very Positive
Rosenkreuzstilette,"Action,Indie","Very Positive,(186),- 80% of the 186 user reviews for this game are positive.",Very Positive
Umihara Kawase,"Action,Indie","Very Positive,(69),- 98% of the 69 user reviews for this game are positive.",Very Positive
Roche Fusion,"Action,Casual,Indie","Very Positive,(64),- 95% of the 64 user reviews for this game are positive.",Very Positive
Guacamelee! Gold Edition,"Action,Adventure,Indie","Very Positive,(2,563),- 94% of the 2,563 user reviews for this game are positive.",Very Positive
The Bridge,"Casual,Indie,Strategy","Very Positive,(2,537),- 89% of the 2,537 user reviews for this game are positive.",Very Positive
Dynamite Jack,"Action,Adventure,Indie","Very Positive,(117),- 90% of the 117 user reviews for this game are positive.",Very Positive
Wild Animal Sports Day,"Action,Casual,Indie,Simulation,Sports","Very Positive,(113),- 92% of the 113 user reviews for this game are positive.",Very Positive
Nongünz,"Action,Indie","Very Positive,(175),- 84% of the 175 user reviews for this game are positive.",Very Positive
QP Shooting - Dangerous!!,"Action,Indie","Very Positive,(264),- 95% of the 264 user reviews for this game are positive.",Very Positive
Unworthy,"Action,Adventure,Indie,RPG","Very Positive,(247),- 86% of the 247 user reviews for this game are positive.",Very Positive
Kitten Adventures in City Park,"Adventure,Indie","Very Positive,(343),- 92% of the 343 user reviews for this game are positive.",Very Positive
Red Faction Guerrilla Steam Edition,Action,"Very Positive,(5,711),- 90% of the 5,711 user reviews for this game are positive.",Very Positive
Fernbus Simulator - Comfort Class HD,Simulation,"Very Positive,(55),- 80% of the 55 user reviews for this game are positive.",Very Positive
"Pirates, Vikings, and Knights II","Action,Free to Play,Indie","Very Positive,(4,473),- 86% of the 4,473 user reviews for this game are positive.",Very Positive
Zombie Panic! Source,"Action,Free to Play,Indie","Very Positive,(6,235),- 85% of the 6,235 user reviews for this game are positive.",Very Positive
Children of the Nile: Enhanced Edition,"Strategy,Simulation","Very Positive,(195),- 82% of the 195 user reviews for this game are positive.",Very Positive
Asterix & Obelix XXL 2,"Action,Adventure","Very Positive,(98),- 80% of the 98 user reviews for this game are positive.",Very Positive
Space Channel 5: Part 2,Action,"Very Positive,(547),- 91% of the 547 user reviews for this game are positive.",Very Positive
Blade Arcus from Shining: Battle Arena,Action,"Very Positive,(128),- 80% of the 128 user reviews for this game are positive.",Very Positive
Sunrider: Mask of Arcadius,"Free to Play,Indie,RPG,Strategy","Very Positive,(2,553),- 93% of the 2,553 user reviews for this game are positive.",Very Positive
EvilQuest,"Action,Adventure,Indie,RPG","Very Positive,(464),- 90% of the 464 user reviews for this game are positive.",Very Positive
PARTICLE MACE,"Action,Adventure,Indie","Very Positive,(1,069),- 88% of the 1,069 user reviews for this game are positive.",Very Positive
Goalie Challenge VR,"Free to Play,Simulation,Sports","Very Positive,(70),- 94% of the 70 user reviews for this game are positive.",Very Positive
GizmoVR Video Player,Utilities,"Very Positive,(56),- 82% of the 56 user reviews for this software are positive.",Very Positive
Outrunner,"Action,Adventure,Casual,Indie","Very Positive,(300),- 84% of the 300 user reviews for this game are positive.",Very Positive
Wand Wars,"Action,Indie,Sports","Very Positive,(133),- 93% of the 133 user reviews for this game are positive.",Very Positive
Halloween Forever,"Action,Indie","Very Positive,(98),- 93% of the 98 user reviews for this game are positive.",Very Positive
Mechanic Escape,"Action,Adventure,Indie","Very Positive,(68),- 83% of the 68 user reviews for this game are positive.",Very Positive
Jigoku Kisetsukan: Sense of the Seasons,"Free to Play,Indie","Very Positive,(1,728),- 93% of the 1,728 user reviews for this game are positive.",Very Positive
Munin,"Adventure,Casual,Indie","Very Positive,(445),- 84% of the 445 user reviews for this game are positive.",Very Positive
Penumbra: Black Plague Gold Edition,"Action,Adventure,Indie","Very Positive,(1,353),- 94% of the 1,353 user reviews for this game are positive.",Very Positive
Waves,"Action,Casual,Indie","Very Positive,(904),- 94% of the 904 user reviews for this game are positive.",Very Positive
Long Live Santa!,"Action,Free to Play,Indie","Very Positive,(2,000),- 84% of the 2,000 user reviews for this game are positive.",Very Positive
Gryphon Knight Epic,"Action,Indie","Very Positive,(75),- 90% of the 75 user reviews for this game are positive.",Very Positive
BEEP,"Adventure,Indie","Very Positive,(4,125),- 84% of the 4,125 user reviews for this game are positive.",Very Positive
BLUE REVOLVER,"Action,Indie","Very Positive,(194),- 98% of the 194 user reviews for this game are positive.",Very Positive
Murasaki,"Action,Indie","Very Positive,(67),- 95% of the 67 user reviews for this game are positive.",Very Positive
Adventures of Pip,"Action,Adventure,Indie","Very Positive,(110),- 88% of the 110 user reviews for this game are positive.",Very Positive
The Dark Eye: Chains of Satinav,"Adventure,Indie","Very Positive,(1,173),- 85% of the 1,173 user reviews for this game are positive.",Very Positive
Return.,"Action,Casual,Free to Play,Indie","Very Positive,(686),- 91% of the 686 user reviews for this game are positive.",Very Positive
Slipstream,"Casual,Indie,Racing","Very Positive,(356),- 93% of the 356 user reviews for this game are positive.",Very Positive
Overload Playable Teaser 3.0,Action,"Very Positive,(637),- 94% of the 637 user reviews for this game are positive.",Very Positive
Swords and Soldiers HD,"Action,Casual,Indie,Strategy","Very Positive,(264),- 90% of the 264 user reviews for this game are positive.",Very Positive
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,"Indie,RPG","Very Positive,(417),- 88% of the 417 user reviews for this game are positive.",Very Positive
F1 2016,"Racing,Simulation,Sports","Very Positive,(2,458),- 82% of the 2,458 user reviews for this game are positive.",Very Positive
F1 2012™,"Racing,Simulation,Sports","Very Positive,(910),- 87% of the 910 user reviews for this game are positive.",Very Positive
The Misadventures of P.B. Winterbottom,"Adventure,Indie","Very Positive,(307),- 88% of the 307 user reviews for this game are positive.",Very Positive
12 Labours of Hercules III: Girl Power,"Casual,Strategy","Very Positive,(674),- 87% of the 674 user reviews for this game are positive.",Very Positive
Ultimate Racing 2D,"Indie,Racing,Simulation,Sports","Very Positive,(107),- 88% of the 107 user reviews for this game are positive.",Very Positive
Magrunner: Dark Pulse,"Action,Adventure","Very Positive,(231),- 85% of the 231 user reviews for this game are positive.",Very Positive
Russian Subway Dogs,"Action,Indie","Very Positive,(77),- 97% of the 77 user reviews for this game are positive.",Very Positive
PAKO 2,"Action,Racing","Very Positive,(167),- 94% of the 167 user reviews for this game are positive.",Very Positive
Totemori,"Casual,Free to Play,Indie","Very Positive,(255),- 86% of the 255 user reviews for this game are positive.",Very Positive
Paint it Back,Casual,"Very Positive,(331),- 98% of the 331 user reviews for this game are positive.",Very Positive
Oozi: Earth Adventure,"Casual,Indie","Very Positive,(521),- 87% of the 521 user reviews for this game are positive.",Very Positive
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Action,Indie,Sports","Very Positive,(480),- 82% of the 480 user reviews for this game are positive.",Very Positive
The Navigator,"Adventure,Casual,Free to Play,Indie","Very Positive,(143),- 97% of the 143 user reviews for this game are positive.",Very Positive
Suzy Cube,"Adventure,Indie","Very Positive,(73),- 91% of the 73 user reviews for this game are positive.",Very Positive
The Void,"Action,Adventure","Very Positive,(577),- 81% of the 577 user reviews for this game are positive.",Very Positive
Arma 2,"Action,Simulation,Strategy","Very Positive,(1,785),- 83% of the 1,785 user reviews for this game are positive.",Very Positive
Tropico Reloaded,"Simulation,Strategy","Very Positive,(392),- 88% of the 392 user reviews for this game are positive.",Very Positive
Dawn of Discovery™: Venice,Strategy,"Very Positive,(260),- 86% of the 260 user reviews for this game are positive.",Very Positive
Zombie Shooter 2,"Action,Indie,RPG","Very Positive,(159),- 81% of the 159 user reviews for this game are positive.",Very Positive
Alien Shooter 2: Reloaded,"Action,Indie,RPG","Very Positive,(450),- 92% of the 450 user reviews for this game are positive.",Very Positive
Sam & Max 301: The Penal Zone,"Action,Adventure","Very Positive,(181),- 92% of the 181 user reviews for this game are positive.",Very Positive
Aquaria,Indie,"Very Positive,(491),- 91% of the 491 user reviews for this game are positive.",Very Positive
F.E.A.R.,Action,"Very Positive,(4,512),- 94% of the 4,512 user reviews for this game are positive.",Very Positive
Crash Drive 2,"Action,Casual,Indie,Racing,Simulation","Very Positive,(525),- 85% of the 525 user reviews for this game are positive.",Very Positive
Spy Chameleon - RGB Agent,Indie,"Very Positive,(108),- 86% of the 108 user reviews for this game are positive.",Very Positive
Cursed Treasure 2,"Indie,Strategy","Very Positive,(126),- 83% of the 126 user reviews for this game are positive.",Very Positive
THE KING OF FIGHTERS: DESTINY,NA,"Very Positive,(289),- 92% of the 289 user reviews for this series are positive.",Very Positive
Hentai Mosaique Vip Room,"Action,Casual,Indie,RPG,Simulation","Very Positive,(116),- 93% of the 116 user reviews for this game are positive.",Very Positive
Kingdom Come: Deliverance - A Woman's Lot,"Action,Adventure,RPG","Very Positive,(149),- 85% of the 149 user reviews for this game are positive.",Very Positive
Journey of Greed,"Indie,Strategy,Early Access","Very Positive,(62),- 98% of the 62 user reviews for this game are positive.",Very Positive
Faerie Solitaire Remastered,Casual,"Very Positive,(90),- 84% of the 90 user reviews for this game are positive.",Very Positive
Time Clickers,"Action,Casual,Free to Play,Indie","Very Positive,(4,361),- 88% of the 4,361 user reviews for this game are positive.",Very Positive
Ninja Pizza Girl,"Action,Indie","Very Positive,(78),- 88% of the 78 user reviews for this game are positive.",Very Positive
PixelJunk™ Shooter,Action,"Very Positive,(183),- 93% of the 183 user reviews for this game are positive.",Very Positive
State of War : Warmonger / 蓝色警戒 (Classic 2000),"Action,Strategy","Very Positive,(79),- 87% of the 79 user reviews for this game are positive.",Very Positive
レイジングループ,"Adventure,Indie","Very Positive,(188),- 96% of the 188 user reviews for this game are positive.",Very Positive
Rocket League® – Fast & Furious™ '99 Nissan Skyline GT-R R34,"Action,Indie,Racing,Sports","Very Positive,(819),- 90% of the 819 user reviews for this game are positive.",Very Positive
CHAOS;CHILD,Adventure,"Very Positive,(243),- 99% of the 243 user reviews for this game are positive.",Very Positive
Relik,"Free to Play,Indie,Strategy,Early Access","Very Positive,(150),- 87% of the 150 user reviews for this game are positive.",Very Positive
Modern Tales: Age of Invention,"Adventure,Casual","Very Positive,(50),- 86% of the 50 user reviews for this game are positive.",Very Positive
She Remembered Caterpillars,Indie,"Very Positive,(65),- 96% of the 65 user reviews for this game are positive.",Very Positive
Lisa's Memory - 丽莎的记忆,"Adventure,Indie,RPG,Early Access","Very Positive,(239),- 88% of the 239 user reviews for this game are positive.",Very Positive
Hollowed,"Action,Adventure,Indie","Very Positive,(113),- 81% of the 113 user reviews for this game are positive.",Very Positive
Half-Life: Caged,"Action,Adventure,Free to Play","Very Positive,(1,755),- 91% of the 1,755 user reviews for this game are positive.",Very Positive
Muffin Knight,"Action,Adventure,Casual,Indie","Very Positive,(71),- 85% of the 71 user reviews for this game are positive.",Very Positive
Fururu Project : Ruby,"Adventure,Indie,RPG","Very Positive,(50),- 94% of the 50 user reviews for this game are positive.",Very Positive
Deceit - Vampire Pack,"Action,Free to Play,Indie","Very Positive,(95),- 91% of the 95 user reviews for this game are positive.",Very Positive
Two Point Hospital: Bigfoot,"Indie,Simulation","Very Positive,(57),- 91% of the 57 user reviews for this game are positive.",Very Positive
Total War: WARHAMMER II - The Prophet & The Warlock,"Action,Strategy","Very Positive,(595),- 84% of the 595 user reviews for this game are positive.",Very Positive
At Home Alone,"Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy","Very Positive,(940),- 84% of the 940 user reviews for this game are positive.",Very Positive
American Truck Simulator - Special Transport,"Indie,Simulation","Very Positive,(228),- 87% of the 228 user reviews for this game are positive.",Very Positive
Warface - Free Anniversary Pack,"Action,Free to Play,Massively Multiplayer","Very Positive,(90),- 83% of the 90 user reviews for this game are positive.",Very Positive
Monster Hunter: World - High Resolution Texture Pack,Action,"Very Positive,(355),- 88% of the 355 user reviews for this game are positive.",Very Positive
A Book of Beasts and Buddies,"Adventure,Casual,Free to Play,Indie,RPG,Simulation","Very Positive,(180),- 97% of the 180 user reviews for this game are positive.",Very Positive
Monster Prom: Second Term,"Indie,Simulation","Very Positive,(99),- 89% of the 99 user reviews for this game are positive.",Very Positive
Surviving Mars: Green Planet,"Simulation,Strategy","Very Positive,(87),- 94% of the 87 user reviews for this game are positive.",Very Positive
Ring of Elysium-Gratitude of Dione,"Action,Free to Play,Massively Multiplayer","Very Positive,(630),- 94% of the 630 user reviews for this game are positive.",Very Positive
MUSYNX,"Indie,Simulation","Very Positive,(994),- 82% of the 994 user reviews for this game are positive.",Very Positive
American Truck Simulator - Classic Stripes Paint Jobs Pack,"Indie,Simulation","Very Positive,(60),- 96% of the 60 user reviews for this game are positive.",Very Positive
Tactics & Strategy Master 2:Princess of Holy Light（圣光战姬）,"Indie,RPG,Strategy","Very Positive,(113),- 80% of the 113 user reviews for this game are positive.",Very Positive
MermaidVR Video Player,"Utilities,Video Production","Very Positive,(82),- 81% of the 82 user reviews for this software are positive.",Very Positive
7,"Adventure,Free to Play,Indie","Very Positive,(114),- 81% of the 114 user reviews for this game are positive.",Very Positive
The Eyes of Ara,"Adventure,Indie","Very Positive,(230),- 86% of the 230 user reviews for this game are positive.",Very Positive
Plandzz,"Casual,Indie","Very Positive,(65),- 83% of the 65 user reviews for this game are positive.",Very Positive
The Amber Throne,"Adventure,Casual,Indie,RPG","Very Positive,(116),- 80% of the 116 user reviews for this game are positive.",Very Positive
Eventide 3: Legacy of Legends,"Adventure,Casual","Very Positive,(63),- 84% of the 63 user reviews for this game are positive.",Very Positive
坦克大战：共和国之辉,"Free to Play,RPG,Strategy,Early Access","Very Positive,(76),- 82% of the 76 user reviews for this game are positive.",Very Positive
Company of Heroes: Blitzkrieg Mod,"Free to Play,Strategy","Very Positive,(380),- 82% of the 380 user reviews for this game are positive.",Very Positive
OK K.O.! Let’s Play Heroes,"Action,Adventure","Very Positive,(58),- 98% of the 58 user reviews for this game are positive.",Very Positive
ICY: Frostbite Edition,RPG,"Very Positive,(171),- 88% of the 171 user reviews for this game are positive.",Very Positive
NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),Strategy,"Very Positive,(423),- 85% of the 423 user reviews for this game are positive.",Very Positive
NOBUNAGA'S AMBITION: Sphere of Influence,Strategy,"Very Positive,(419),- 83% of the 419 user reviews for this game are positive.",Very Positive
Hover,"Action,Adventure","Very Positive,(1,019),- 83% of the 1,019 user reviews for this game are positive.",Very Positive
Fare Thee Well,Free to Play,"Very Positive,(79),- 98% of the 79 user reviews for this game are positive.",Very Positive
Bare Metal,"Free to Play,Indie,Simulation,Strategy","Very Positive,(68),- 85% of the 68 user reviews for this game are positive.",Very Positive
Assetto Corsa - Ferrari 70th Anniversary Pack,"Indie,Racing,Simulation,Sports","Very Positive,(145),- 97% of the 145 user reviews for this game are positive.",Very Positive
High Hell,"Action,Indie","Very Positive,(510),- 85% of the 510 user reviews for this game are positive.",Very Positive
The Ranger: Lost Tribe,"Action,Adventure,Free to Play,RPG,Simulation","Very Positive,(278),- 82% of the 278 user reviews for this game are positive.",Very Positive
Deceit - Werewolf Pack,"Action,Free to Play,Indie","Very Positive,(277),- 93% of the 277 user reviews for this game are positive.",Very Positive
Rocket League® – Fast & Furious™ '70 Dodge® Charger R/T,"Action,Indie,Racing,Sports","Very Positive,(169),- 86% of the 169 user reviews for this game are positive.",Very Positive
Football Game,Adventure,"Very Positive,(64),- 90% of the 64 user reviews for this game are positive.",Very Positive
旧手表 - Old Watch,"Casual,Indie","Very Positive,(389),- 83% of the 389 user reviews for this game are positive.",Very Positive
Black Squad - 1ST YEAR ANNIVERSARY PACKAGE,"Action,Free to Play","Very Positive,(261),- 96% of the 261 user reviews for this game are positive.",Very Positive
Black Squad - EA FREE TIMED WEAPON PACKAGE 4,"Action,Free to Play","Very Positive,(76),- 92% of the 76 user reviews for this game are positive.",Very Positive
Black Squad - Welcome Fortune Box,"Action,Free to Play","Very Positive,(594),- 91% of the 594 user reviews for this game are positive.",Very Positive
Black Squad - EA FREE TIMED WEAPON PACKAGE 3,"Action,Free to Play","Very Positive,(214),- 96% of the 214 user reviews for this game are positive.",Very Positive
Black Squad - FOUNDER'S PACKAGE,"Action,Free to Play","Very Positive,(135),- 91% of the 135 user reviews for this game are positive.",Very Positive
Black Squad - EA FREE TIMED WEAPON PACKAGE 2,"Action,Free to Play","Very Positive,(469),- 93% of the 469 user reviews for this game are positive.",Very Positive
Black Squad - EA FREE TIMED WEAPON PACKAGE 1,"Action,Free to Play","Very Positive,(913),- 94% of the 913 user reviews for this game are positive.",Very Positive
JYDGE,"Action,Indie,RPG,Simulation,Strategy","Very Positive,(254),- 88% of the 254 user reviews for this game are positive.",Very Positive
Ballad of Solar,"Adventure,Casual,Strategy","Very Positive,(132),- 87% of the 132 user reviews for this game are positive.",Very Positive
Copy Kitty,"Action,Indie","Very Positive,(115),- 98% of the 115 user reviews for this game are positive.",Very Positive
Mutiny!!,Indie,"Very Positive,(196),- 88% of the 196 user reviews for this game are positive.",Very Positive
Forsaken Remastered,"Action,Adventure","Very Positive,(55),- 83% of the 55 user reviews for this game are positive.",Very Positive
Sky Force Reloaded,"Action,Indie","Very Positive,(534),- 93% of the 534 user reviews for this game are positive.",Very Positive
Escapists 2 - Glorious Regime Prison,"Indie,Simulation,Strategy","Very Positive,(56),- 91% of the 56 user reviews for this game are positive.",Very Positive
Gnomes & Goblins (preview),"Adventure,Casual,Indie","Very Positive,(482),- 95% of the 482 user reviews for this game are positive.",Very Positive
Left-Hand Path,"Adventure,Indie,RPG","Very Positive,(110),- 86% of the 110 user reviews for this game are positive.",Very Positive
Gun Done,"Casual,Indie","Very Positive,(481),- 90% of the 481 user reviews for this game are positive.",Very Positive
Age of Empires II HD: Rise of the Rajas,Strategy,"Very Positive,(333),- 89% of the 333 user reviews for this game are positive.",Very Positive
Nurse Love Addiction,"Adventure,Simulation","Very Positive,(489),- 93% of the 489 user reviews for this game are positive.",Very Positive
Grim Dawn - Crucible Mode DLC,"Action,Adventure,Indie,RPG","Very Positive,(425),- 83% of the 425 user reviews for this game are positive.",Very Positive
Slash or Die,"Action,Indie","Very Positive,(135),- 86% of the 135 user reviews for this game are positive.",Very Positive
All-Star Fruit Racing,"Action,Indie,Racing,Sports","Very Positive,(66),- 81% of the 66 user reviews for this game are positive.",Very Positive
Yomawari: Night Alone / 夜廻,"Adventure,Strategy","Very Positive,(772),- 81% of the 772 user reviews for this game are positive.",Very Positive
The Silver Case,Adventure,"Very Positive,(169),- 85% of the 169 user reviews for this game are positive.",Very Positive
Lucid Dream,"Adventure,Indie","Very Positive,(52),- 80% of the 52 user reviews for this game are positive.",Very Positive
Rocket League® - DC Super Heroes DLC Pack,"Action,Indie,Racing,Sports","Very Positive,(359),- 83% of the 359 user reviews for this game are positive.",Very Positive
Keplerth,"Adventure,Indie,RPG,Early Access","Very Positive,(262),- 83% of the 262 user reviews for this game are positive.",Very Positive
Deep GachiGASM,"Action,Casual,Indie","Very Positive,(71),- 83% of the 71 user reviews for this game are positive.",Very Positive
Space Invaders Extreme,Action,"Very Positive,(73),- 90% of the 73 user reviews for this game are positive.",Very Positive
DISTRAINT 2,"Adventure,Casual,Indie","Very Positive,(447),- 97% of the 447 user reviews for this game are positive.",Very Positive
OPUS: Rocket of Whispers,"Adventure,Indie","Very Positive,(340),- 91% of the 340 user reviews for this game are positive.",Very Positive
Let`s not stay friends,"Casual,Indie","Very Positive,(116),- 86% of the 116 user reviews for this game are positive.",Very Positive
Crimson Imprint plus -Nonexistent Christmas-,"Adventure,Casual,Indie","Very Positive,(1,389),- 92% of the 1,389 user reviews for this game are positive.",Very Positive
Friday the 13th: The Game - Jason Part 7 Machete Kill Pack,Action,"Very Positive,(63),- 87% of the 63 user reviews for this game are positive.",Very Positive
Freddy Fazbear's Pizzeria Simulator,"Free to Play,Indie,Simulation","Very Positive,(8,651),- 93% of the 8,651 user reviews for this game are positive.",Very Positive
Friday the 13th: The Game - Jason Part 4 Pig Splitter Kill Pack,Action,"Very Positive,(97),- 81% of the 97 user reviews for this game are positive.",Very Positive
Tokyo Dark,Adventure,"Very Positive,(491),- 90% of the 491 user reviews for this game are positive.",Very Positive
Mothlight,"Free to Play,Indie,RPG","Very Positive,(259),- 94% of the 259 user reviews for this game are positive.",Very Positive
Transparent Black,"Adventure,Indie,RPG","Very Positive,(126),- 92% of the 126 user reviews for this game are positive.",Very Positive
Crazy Ball Adventures,"Adventure,Casual,Indie","Very Positive,(98),- 82% of the 98 user reviews for this game are positive.",Very Positive
Battle Group 2,"Action,Indie,Strategy","Very Positive,(199),- 83% of the 199 user reviews for this game are positive.",Very Positive
VODKA,"Action,Indie","Very Positive,(216),- 95% of the 216 user reviews for this game are positive.",Very Positive
Loading Screen Simulator,"Casual,Free to Play,Indie,Simulation","Very Positive,(6,839),- 86% of the 6,839 user reviews for this game are positive.",Very Positive
Life is Strange: Before the Storm DLC - Deluxe Upgrade,"Action,Adventure","Very Positive,(345),- 90% of the 345 user reviews for this game are positive.",Very Positive
ClickRaid,"Action,Adventure,Casual,Indie","Very Positive,(214),- 84% of the 214 user reviews for this game are positive.",Very Positive
Adventure of a Lifetime,"Adventure,Casual,Simulation","Very Positive,(113),- 95% of the 113 user reviews for this game are positive.",Very Positive
The Caribbean Sail,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy","Very Positive,(124),- 91% of the 124 user reviews for this game are positive.",Very Positive
Disney Infinity 1.0: Gold Edition,"Action,Adventure","Very Positive,(51),- 80% of the 51 user reviews for this game are positive.",Very Positive
Disney•Pixar WALL-E,Adventure,"Very Positive,(98),- 90% of the 98 user reviews for this game are positive.",Very Positive
Acceleration of SUGURI 2,"Action,Indie","Very Positive,(151),- 91% of the 151 user reviews for this game are positive.",Very Positive
Catlateral Damage,"Action,Casual,Indie,Simulation","Very Positive,(700),- 88% of the 700 user reviews for this game are positive.",Very Positive
Occupy White Walls,"Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Early Access","Very Positive,(359),- 90% of the 359 user reviews for this game are positive.",Very Positive
Life is Strange 2 - Episodes 2-5 bundle,Adventure,"Very Positive,(155),- 82% of the 155 user reviews for this game are positive.",Very Positive
Sudden Strike 4 - Africa: Desert War,Strategy,"Very Positive,(56),- 80% of the 56 user reviews for this game are positive.",Very Positive
樱花片落恋模样 This is a very sweet love story.,Adventure,"Very Positive,(107),- 97% of the 107 user reviews for this game are positive.",Very Positive
The King's Request: Physiology and Anatomy Revision Game,"Adventure,Casual,Free to Play,RPG","Very Positive,(111),- 90% of the 111 user reviews for this game are positive.",Very Positive
Borderlands 2: Commander Lilith & the Fight for Sanctuary,"Action,RPG","Very Positive,(1,843),- 83% of the 1,843 user reviews for this game are positive.",Very Positive
Ultimate Custom Night,"Action,Free to Play,Indie","Very Positive,(8,715),- 94% of the 8,715 user reviews for this game are positive.",Very Positive
Movavi Video Editor 14 Plus,"Animation & Modeling,Audio Production,Utilities,Video Production","Very Positive,(208),- 82% of the 208 user reviews for this software are positive.",Very Positive
Stoneshard: Prologue,"Adventure,Indie,RPG","Very Positive,(1,726),- 89% of the 1,726 user reviews for this game are positive.",Very Positive
Far Cry 5: Inside Eden’s Gate,NA,"Very Positive,(96),- 95% of the 96 user reviews for this video are positive.",Very Positive
The Walking Dead: The Final Season,Adventure,"Very Positive,(5,274),- 90% of the 5,274 user reviews for this game are positive.",Very Positive
关于我被小学女生绑架这件事 - Extra Content,"Adventure,Casual,Indie","Very Positive,(58),- 100% of the 58 user reviews for this game are positive.",Very Positive
关于我被小学女生绑架这件事,"Adventure,Casual,Free to Play,Indie","Very Positive,(2,086),- 87% of the 2,086 user reviews for this game are positive.",Very Positive
Flowers -Le volume sur ete-,Casual,"Very Positive,(177),- 99% of the 177 user reviews for this game are positive.",Very Positive
Lagoon Lounge : The Poisonous Fountain,"Adventure,Casual,Indie,Simulation","Very Positive,(147),- 95% of the 147 user reviews for this game are positive.",Very Positive
Escape from the Princess,"Adventure,Casual,Indie","Very Positive,(54),- 87% of the 54 user reviews for this game are positive.",Very Positive
Vカツ / V-Katsu,"Free to Play,Early Access","Very Positive,(273),- 94% of the 273 user reviews for this game are positive.",Very Positive
Space Elite Force,"Action,Casual,Indie","Very Positive,(55),- 96% of the 55 user reviews for this game are positive.",Very Positive
My Brother Rabbit,"Adventure,Casual,Indie","Very Positive,(138),- 96% of the 138 user reviews for this game are positive.",Very Positive
Total War: THREE KINGDOMS - Yellow Turban Rebellion,"Action,Strategy","Very Positive,(448),- 90% of the 448 user reviews for this game are positive.",Very Positive
G2 Fighter,"Action,Adventure,Indie,RPG,Early Access","Very Positive,(277),- 90% of the 277 user reviews for this game are positive.",Very Positive
Viki Spotter: Space Mission,"Casual,Indie","Very Positive,(68),- 100% of the 68 user reviews for this game are positive.",Very Positive
Touhou: Scarlet Curiosity | 東方紅輝心,"Action,RPG","Very Positive,(516),- 92% of the 516 user reviews for this game are positive.",Very Positive
Fortissimo FA,"Adventure,Casual,Indie","Very Positive,(199),- 83% of the 199 user reviews for this game are positive.",Very Positive
theHunter™: Call of the Wild - Weapon Pack 2,"Adventure,Simulation,Sports","Very Positive,(111),- 88% of the 111 user reviews for this game are positive.",Very Positive
Shadow Corridor,"Action,Indie","Very Positive,(205),- 81% of the 205 user reviews for this game are positive.",Very Positive
Tornado!,"Adventure,Casual,Free to Play,Indie","Very Positive,(50),- 96% of the 50 user reviews for this game are positive.",Very Positive
Deathgarden: BLOODHARVEST - Terminator Set,Action,"Very Positive,(60),- 95% of the 60 user reviews for this game are positive.",Very Positive
When the Darkness comes,"Adventure,Free to Play,Indie","Very Positive,(3,582),- 90% of the 3,582 user reviews for this game are positive.",Very Positive
R.I.C.A,"Adventure,Free to Play,Indie,RPG","Very Positive,(80),- 93% of the 80 user reviews for this game are positive.",Very Positive
Game Studio Simulator（我要做游戏）,"Casual,Indie,Simulation,Strategy","Very Positive,(124),- 84% of the 124 user reviews for this game are positive.",Very Positive
Rocket League® - Ghostbusters™ Ecto-1 Car Pack,"Action,Indie,Racing,Sports","Very Positive,(95),- 91% of the 95 user reviews for this game are positive.",Very Positive
光之迷城 / Dawn of the Lost Castle,"Action,Adventure,Casual,Indie,RPG,Simulation","Very Positive,(83),- 85% of the 83 user reviews for this game are positive.",Very Positive
Dark Deception Chapter 2,"Action,Adventure,Indie,RPG","Very Positive,(80),- 91% of the 80 user reviews for this game are positive.",Very Positive
Taima Miko Yuugi,"Adventure,Indie,RPG","Very Positive,(345),- 90% of the 345 user reviews for this game are positive.",Very Positive
Princess.Loot.Pixel.Again x2,"Action,Adventure,Indie,RPG","Very Positive,(118),- 82% of the 118 user reviews for this game are positive.",Very Positive
Friday the 13th: The Game - Emote Party Pack 1,Action,"Very Positive,(117),- 93% of the 117 user reviews for this game are positive.",Very Positive
"Cities: Skylines - Carols, Candles and Candy","Simulation,Strategy","Very Positive,(217),- 86% of the 217 user reviews for this game are positive.",Very Positive
Cities: Skylines - Parklife,"Simulation,Strategy","Very Positive,(272),- 83% of the 272 user reviews for this game are positive.",Very Positive
